问,答,model_answer,score
研究生新生因故不能按期入学怎么办？,应当向学校请假，假期不得超过2周，未请假或请假逾期的除不可抗力原因外视为放弃入学资格。,研究生新生因故不能按期入学的，应当向学校请假。请假时间不得超过2周。未请假或请假逾期者，除因不可抗力等正当事由以外，视为放弃入学资格。,1
除参军入伍外，申请保留入学资格的时间有什么要求？,新生可以申请保留入学资格，每次时间不超过1年，累计不超过2年。,除参军入伍外，申请保留入学资格的时间每次不超过1年，累计时间不超过2年。保留入学资格期间不具有学籍，不享受在校生待遇。保留入学资格的时间不计入在校学习时间。,1
研究生在每学期开学时办理注册手续的方式有哪些？ ,研究生在学期间，每学期开学时应当按学校规定办理注册手续，包括学期电子注册、研究生证注册。,"研究生在每学期开学时办理注册手续的方式包括：

1. 学期电子注册：研究生通过研究生信息平台申请注册，经导师或班主任在研究生信息平台上确认后完成。
2. 研究生证注册。

此外，以下情况也视为正常注册：

- 到校学习。
- 经学校批准出境学习或交流。
- 经导师批准赴外地学习或交流。
- 校外导师联合培养。
- 按学校教学计划安排在外实习或学习。",1
哪些情况属于研究生的正常注册？ ,研究生以下情况均视为正常注册：（一）到校学习；（二）经学校批准出境学习或交流；（三）经导师批准赴外地学习或交流；（四）校外导师联合培养；（五）按学校教学计划安排在外实习或学习；（六）在职人员回原单位培养。,"根据提供的内容，研究生的正常注册情况包括以下几种：

1. 到校学习。
2. 经学校批准出境学习或交流。
3. 经导师批准赴外地学习或交流。
4. 校外导师联合培养。
5. 按学校教学计划安排在外实习或学习。",0
研究生不能如期注册，从开学日起请假2 周以上或不满足其他注册必要条件的，应如何处理？,应当履行暂缓注册手续，提交《研究生暂缓注册申请表》，经导师或班主任、培养单位分管领导书面同意，交研究生院审批后生效。,研究生不能如期注册，从开学日起请假2周以上或不满足其他注册必要条件的，应当履行暂缓注册手续，提交《研究生暂缓注册申请表》，经导师或班主任、培养单位分管领导书面同意，交研究生院审批后生效。在暂缓注册期间，视为未注册，不享有在校生的各项待遇。,1
我校研究生的基本学习年限是多少？,我校硕士研究生基本学习年限为 2-3 年（年限计算截至每年 8 月 31 日，下同），最短学习年限为2年，最长学习年限为 5 年。博士研究生基本学习年限为 3-4 年，最短学习年限为 2 年，最长学习年限为 8 年。直博生基本学习年限为 5-6 年，最短学习年限为 4 年，最长学习年限为 8 年。,"根据提供的上下文，我校研究生的基本学习年限如下：

- 硕士研究生的基本学习年限为3-4年。
- 博士研究生的基本学习年限为3-4年。
- 直博生的基本学习年限为5-6年。",0
课程考核不合格的研究生可以怎样做？,可以在最长学习年限内再次选修该门课程（重修）， 并进行考核（重考）。重考成绩合格后，记入成绩册，并标注为重考。,课程考核不合格的研究生可以在最长学习年限内再次选修该门课程（重修），并进行考核（重考）。重考成绩合格后，成绩会记入成绩册，并标注为重考。,1
有哪些情况下，研究生不得申请转学？ ,研究生有下列情形之一，不得转学：（一）入学未满一学期或者毕业前一年的；（二）由低学历层次转为高学历层次的；（三）以定向就业招生录取的；（四）研究生拟转入学校、专业的录取控制标准高于其所在学校、专业的；（五）无正当转学理由的。,"根据提供的上下文，研究生不得申请转学的情况包括：

1. 入学未满一学期或者毕业前一年的；
2. 由低学历层次转为高学历层次的；
3. 以定向就业招生录取的；
4. 研究生拟转入学校、专业的录取控制标准高于其所在学校、专业的；
5. 无正当转学理由的。",1
哪些情况下，研究生可以申请休学？,研究生有下列情况之一者，可以申请休学：（一）创业；（二）支教；（三）在职研究生单位工作需要；（四）已婚女研究生符合国家计生政策生育；（五）其他原因不能正常在校学习者。,"研究生可以申请休学的情况包括：

（一）创业；

（二）支教；

（三）在职研究生单位工作需要；

（四）已婚女研究生符合国家计生政策生育；

（五）其他原因不能正常在校学习者。",1
研究生因健康原因不宜在校学习应如何处理？,经指定医院诊断确需休养的，应办理休学手续。,"研究生因健康原因不宜在校学习的处理方式如下：

1. **休学**：如果研究生因健康原因不宜在校学习，经学校指定医院诊断确需休养的，可以申请休学。休学一般以学期或学年为时间单位，累计不得超过2年，且休学时间计入在校学习时间（上下文11）。

2. **保留入学资格**：如果是新生，且在复查中发现身心状况不适宜在校学习，经学校指定医院诊断需要在家休养的，可以按照相关规定保留入学资格（上下文5）。

3. **复学申请**：因病休学的研究生在休学期满前，应提交复学申请表和学校指定医院的诊断证明，经导师、培养单位分管领导书面同意，并报研究生院审批后，方可办理复学手续（上下文12）。

4. **退学**：如果在休学期满前未提出复学申请或者申请复学经复查不合格，学校可按程序予以退学处理（上下文12）。",0
退学的研究生应当在学校批准或退学处理决定书送达之日起多久内办结离校手续？,2周。,退学的研究生应当在学校批准或退学处理决定书送达之日起2周内办结离校手续。,1
哪些情况下，学校可按程序予以退学处理？,"研究生有下列情形之一，学校可按程序予以退学处理。
（一）经考核不宜继续攻读硕士学位或博士学位的；（二）超过学校规定的最长学习年限未完成学业的；（三）休学、保留学籍期满，在期满前未提出复学申请或者申请复学经复查不合格的；休学、保留学籍累计时间已达到 2 年，未提出复学申请或者申请复学经复查不合格的；（四）根据学校指定医院诊断，患有疾病或者意外伤残不能继续在校学习的；（五）未经批准连续 2 周未参加学校规定的教学活动的；（六）超过学校规定期限未注册而又未履行暂缓注册手续的。","根据提供的上下文，学校可按程序予以退学处理的情况包括：

1. 经考核不宜继续攻读硕士学位或博士学位的。
2. 超过学校规定的最长学习年限未完成学业的。
3. 休学、保留学籍期满，在期满前未提出复学申请或者申请复学经复查不合格的；休学、保留学籍累计时间已达到2年，未提出复学申请或者申请复学经复查不合格的。
4. 根据学校指定医院诊断，患有疾病或者意外伤残不能继续在校学习的。
5. 未经批准连续2周未参加学校规定的教学活动的。",0
研究生完成培养计划规定内容但毕业论文答辩未通过怎么办？,研究生在最长学习年限内，修完培养计划规定内容，但毕业论文答辩未通过，学校准予结业，发给结业证书。 研究生可以分阶段完成学业，在最长学习年限内，可以先结业再毕业，或先毕业再申请学位。研究生结业后可以重修或者补做毕业设计、论文、答辩，符合相应条件后，学校颁发毕业证书、学位证书，合格后颁发的毕业证书、学位证书，毕业时间、获得学位时间按发证日期填写。,根据提供的上下文，研究生如果在最长学习年限内完成了培养计划规定的内容，但毕业论文答辩未通过，学校会准予结业，并发给结业证书。研究生可以在结业后重修或者补做毕业设计、论文、答辩，符合相应条件后，学校会颁发毕业证书和学位证书。合格后颁发的毕业证书和学位证书的毕业时间和获得学位时间将按发证日期填写。,1
研究生申请提前毕业的条件是什么？,研究生（硕博连读生自博士入学之日起计算）在校学习时间满 2 年，直博生在校学习时间满 4 年，提前完成培养计划规定内容，获得毕业所要求的学分，达到提前答辩申请学位要求的，经学院批准，研究生院审核，可以申请提前毕业。,"研究生申请提前毕业的条件包括：

1. 在校学习时间达到满2年（直博生需满4年）。
2. 提前完成培养计划规定的内容。
3. 获得毕业所要求的学分。
4. 达到提前答辩申请学位的要求。
5. 经学院批准，研究生院审核通过。",1
研究生在校学习超过基本学习年限但未达到最长年限的会有哪些影响？ ,不额外缴纳学费，但不参与学业奖评选，不享受基本助学金及助研助教岗位酬金待遇，其他奖助学金以评选要求为准。,"研究生在校学习时间超过基本学习年限但未达到最长学习年限的情况下，会有以下影响：

1. **不额外缴纳学费**：研究生不需要支付额外的学费。

2. **不参与学业奖评选**：研究生不能参与学业奖的评选。

3. **不享受基本助学金及助研助教岗位酬金待遇**：研究生不享有基本助学金和助研助教岗位的酬金待遇。

4. **其他奖助学金以评选要求为准**：对于其他奖助学金，是否能够获得取决于具体的评选要求。",1
研究生能否在校期间更改个人身份信息？ ,在有合理、充分的理由，并提供有法定效力的相应证明文件情况下，经学校审核确认，上报所在地省级教育行政部门审核确认后，方予更改，学信网保留更改前的信息。,研究生在校期间可以修改或变更个人身份信息，如姓名、出生日期等，但需要有合理、充分的理由，并提供有法定效力的相应证明文件。经过学校审核确认后，还需上报所在地省级教育行政部门审核确认，方可更改。同时，学信网会保留更改前的信息。,1
研究生申请复学的流程是什么？,研究生申请复学，应在休学期满前提交《研究生复学、恢复学籍申请表》，附事由证明材料，经导师、培养单位分管领导书面同意，报研究生院审批，方可办理复学手续。因病休学者申请复学，应提交学校指定医院诊断证明。,"研究生申请复学的流程如下：

1. 在休学期满前，研究生需提交《研究生复学、恢复学籍申请表》。
2. 附上事由证明材料。
3. 申请需经导师和培养单位分管领导书面同意。
4. 报研究生院审批。
5. 因病休学者申请复学，还需提交学校指定医院的诊断证明。

完成以上步骤后，方可办理复学手续。",1
严重违反考核纪律或者作弊的研究生如何处理？ ,该课程考核成绩记为无效，并视其违纪或者作弊情节，按学校有关规定，予以纪律处分。,根据提供的上下文，严重违反考核纪律或者作弊的研究生，其该课程的考核成绩将被记为无效，并根据其违纪或者作弊的情节，按照学校的有关规定给予纪律处分。,1
对违反国家招生规定取得入学资格或学籍的研究生如何处理？ ,学校取消其学籍，不发学历、学位证书，已发的学历证书、学位证书，学校依法予以撤销。,对违反国家招生规定取得入学资格或学籍的研究生，学校将取消其学籍，不发给学历证书、学位证书；如果已经发放了学历证书、学位证书，学校将依法予以撤销。被撤销的学历证书、学位证书如果已经注册，学校将予以注销并报教育行政部门宣布无效。,1
